ID_Hogar;P9030;P9010;P9025S2;P9025S1;P1913S5
72485141;2;2;2;2;20
72485151;2;1;2;2;5
72485161;2;1;2;2;12
72485171;2;1;2;2;10
72485181;1;1;2;2;15
72485191;2;1;2;2;15
72485221;3;1;2;2;20
72485221;3;1;2;2;25
72485221;3;1;2;2;25
72485221;3;1;2;2;40
72485231;3;2;2;2;30
72485231;2;2;2;1;20
72485261;2;2;2;2;25
72485271;3;2;2;2;45
72485281;2;1;2;2;20
72485291;3;1;2;2;15
72485321;2;1;2;2;40
72485331;2;1;2;2;45
72485341;1;1;2;2;35
72485351;2;1;2;2;40
72485381;2;1;2;2;30
72485391;2;1;2;2;40
72485401;2;1;2;2;30
72485411;2;1;2;1;30
72485421;2;2;2;1;60
72485431;2;1;2;2;0
72485451;3;1;2;2;0
72485471;2;1;2;2;45
72485481;2;1;2;2;40
72485491;2;1;2;2;0
72485501;3;1;2;2;60
72485511;2;1;2;2;20
72485521;2;1;1;1;60
72485531;2;1;2;2;120
72485541;2;1;2;2;0
72485551;3;1;2;1;60
72485561;2;1;2;2;0
72485571;1;1;2;2;40
72485591;2;1;2;2;0
72485601;2;1;2;2;60
72485611;2;1;1;1;0
