ID_Persona;P6435;P6440;P6460;P8624;P415
724752011;5;2;;;48
724752021;;;;;
724752031;5;2;;;20
724752211;;;;;
724752221;;;;;
724752411;2;;2;1000000;3
724752511;;;;;
724752521;;;;;
724752531;;;;;
724752611;5;2;;;5
724752621;5;2;;;10
724752711;1;;2;877803;8
724752721;1;;1;877803;8
724752731;5;2;;;99
724752741;5;2;;;99
724752811;;;;;
724752821;;;;;
724753011;;;;;
724753021;1;;1;20000000;8
724753031;1;;1;833803;3
724753111;4;1;2;;72
724753211;;;;;
724753221;5;2;;;28
724753311;1;;1;1100000;72
724753321;;;;;
724753331;;;;;
724753411;5;2;;;40
724753421;5;2;;;21
724753431;;;;;
724753511;;;;;
724753521;1;;1;1000000;40
724753531;;;;;
724753541;;;;;
724753611;;;;;
724753621;;;;;
724753631;;;;;
724753811;;;;;
724753821;;;;;
724754011;;;;;
724754021;;;;;
724754031;;;;;
724754111;;;;;
724754121;;;;;
724754211;1;;1;986840;40
724754231;1;;1;986480;15
724754411;;;;;
724754421;1;;1;1890000;40
724754511;1;;2;1590000;48
724754521;1;;2;1200000;48
724754611;;;;;
724754621;;;;;
724754631;;;;;
724754811;;;;;
724754821;1;;1;1000000;40
724754911;5;2;;;5
724754921;;;;;
724755011;1;;1;500000;50
724755021;;;;;
724755111;5;2;;;60
724755121;;;;;
724755131;;;;;
724755211;;;;;
724755221;4;1;1;;40
724755311;;;;;
724755321;;;;;
724755331;1;;1;1200000;8
724755341;;;;;
724755611;1;;2;990000;15
724755811;5;2;;;6
724756011;;;;;
724756021;5;2;;;16
724756511;5;2;;;40
724756521;5;2;;;40
724756611;5;2;;;40
724756621;1;;1;800000;40
724756631;;;;;
724756641;;;;;
724756651;;;;;
724756711;6;;;;40
724756721;1;;1;98;40
724756911;;;;;
724756921;1;;1;868000;30
724757011;5;2;;;30
724757021;;;;;
724757031;1;;1;99;64
724757111;5;2;;;18
724757121;;;;;
724757131;;;;;
724757141;5;2;;;16
724757211;1;;1;1100000;8
724757221;;;;;
724757311;;;;;
724757321;;;;;
724757411;1;;1;3500000;8
724757511;;;;;
724757521;;;;;
724757611;5;2;;;12
724757621;;;;;
724757661;;;;;
724757711;1;;1;1200000;48
724757721;;;;;
724757731;;;;;
724757811;;;;;
724757821;;;;;
724757911;1;;1;837000;44
724757921;5;1;2;;30
724758011;1;;1;600000;40
724758111;;;;;
724758121;;;;;
724758211;;;;;
724758311;;;;;
724758321;;;;;
724758331;;;;;
724758411;;;;;
724758421;;;;;
724758511;;;;;
724758611;;;;;
724758621;;;;;
724758631;;;;;
724758711;;;;;
724758721;;;;;
724758731;;;;;
724758811;;;;;
724758821;;;;;
724759011;;;;;
724760011;1;;1;872000;56
724760021;;;;;
724760031;;;;;
724760041;5;2;;;48
724760051;;;;;
724760511;;;;;
724760521;;;;;
724760531;5;2;;;8
724760541;;;;;
724761311;5;2;;;8
724761321;;;;;
724761331;;;;;
724761341;;;;;
724761511;;;;;
724761521;;;;;
724761531;;;;;
724761611;5;2;;;40
724761621;;;;;
724761711;3;;1;200000;8
724761721;;;;;
724762111;1;;1;1200000;50
724762121;;;;;
724762131;;;;;
724762141;;;;;
724762151;5;2;;;48
724762161;;;;;
724762181;;;;;
724762611;;;;;
724762811;5;2;;;35
724762821;5;2;;;8
724762831;5;2;;;40
724762841;;;;;
724762851;;;;;
724763111;;;;;
724763121;1;;2;890000;8
724763131;;;;;
724763211;;;;;
724763221;;;;;
724763231;5;2;;;6
724763241;1;;1;1300000;8
724763511;;;;;
724763711;;;;;
724763721;;;;;
724763811;5;2;;;84
724763821;;;;;
724763911;5;2;;;70
724763921;;;;;
724764111;5;2;;;60
724764121;;;;;
724764211;5;2;;;21
724764221;;;;;
724764311;5;2;;;98
724764321;;;;;
724764331;;;;;
724764411;;;;;
724764421;5;2;;;10
724764511;5;2;;;70
724764521;;;;;
724764531;;;;;
724764541;;;;;
724764611;5;2;;;96
724764621;;;;;
724764711;5;2;;;70
724764721;;;;;
724764731;;;;;
724764811;5;2;;;56
724764821;5;2;;;14
724764911;5;2;;;12
724764921;;;;;
724764931;;;;;
724765111;5;2;;;12
724765121;;;;;
724765211;1;;1;877802;48
724765221;;;;;
724765231;;;;;
724765311;;;;;
724765321;5;2;;;72
724765331;5;2;;;72
724765611;5;2;;;24
724765621;;;;;
724765631;;;;;
724765711;5;2;;;30
724765721;;;;;
724765811;5;2;;;56
724765821;;;;;
724765831;;;;;
724765911;5;2;;;40
724766011;5;2;;;70
724766021;5;2;;;70
724766031;;;;;
724766211;5;2;;;24
724766221;;;;;
724766511;5;2;;;28
724766521;;;;;
724766531;;;;;
724766541;;;;;
724766611;;;;;
724766621;5;2;;;30
724766631;;;;;
724766711;5;2;;;84
724766811;3;;1;600000;48
724766821;2;;2;900000;20
724766831;;;;;
724767011;;;;;
724767021;6;;;;10
724767111;;;;;
724767121;;;;;
724767211;2;;1;4700000;30
724767311;5;2;;;4
724767321;;;;;
724767331;;;;;
724767361;;;;;
724767511;5;2;;;40
724767711;6;;;;10
724767721;;;;;
724767731;;;;;
724767811;;;;;
724767821;5;2;;;12
724767911;5;2;;;15
724767921;;;;;
724768011;1;;1;1000000;48
724768021;;;;;
724768041;;;;;
724768111;2;;1;2300000;22
724768121;;;;;
724768151;;;;;
724768311;;;;;
724768321;6;;;;86
724768411;;;;;
724768511;5;2;;;26
724768521;;;;;
724768541;;;;;
724768551;;;;;
724768611;5;2;;;10
724768621;;;;;
724768631;2;;1;1200000;8
724768811;5;2;;;10
724768911;5;1;1;;48
724768921;1;;2;700000;48
724769111;7;;;;40
724769121;;;;;
724769131;;;;;
724769141;;;;;
724769161;3;;1;200000;8
724769211;1;;1;800000;56
724769221;;;;;
724769231;;;;;
724769241;;;;;
724769311;7;;;;18
724769321;1;;1;550000;21
724769411;1;;1;700000;70
724769421;;;;;
724769511;10;;1;800000;48
724769521;;;;;
724769611;5;2;;;56
724769621;;;;;
724769711;3;;1;300000;42
724769731;;;;;
724769811;;;;;
724769821;5;2;;;21
724769841;5;2;;;28
724769851;;;;;
724769881;;;;;
724769911;10;;1;300000;56
724769921;;;;;
724770011;7;;;;49
724770021;;;;;
724770111;1;;1;500000;56
724770121;;;;;
724770211;7;;;;40
724770221;;;;;
724770231;;;;;
724770311;;;;;
724770321;5;2;;;18
724770331;;;;;
724770411;10;;1;700000;40
724770421;;;;;
724770511;5;2;;;50
724770521;;;;;
724770611;5;2;;;60
724770621;;;;;
724770651;;;;;
724770711;10;;1;800000;56
724770721;;;;;
724770811;;;;;
724770821;;;;;
724770831;10;;1;300000;42
724770911;;;;;
724770921;10;;1;500000;105
724771011;7;;;;52
724771021;;;;;
724771031;10;;1;300000;52
724771041;;;;;
724771051;;;;;
724771111;10;;1;400000;48
724771121;;;;;
724771211;10;;1;820000;48
724771221;;;;;
724771311;10;;1;850000;77
724771321;;;;;
724771411;;;;;
724771421;;;;;
724771511;5;2;;;56
724771521;;;;;
724771531;;;;;
724771541;;;;;
724771611;;;;;
724771621;6;;;;56
724771631;;;;;
724771711;5;2;;;100
724771721;;;;;
724771741;10;;2;600000;100
724771751;;;;;
724771811;7;;;;54
724771821;;;;;
724771911;5;2;;;35
724771921;;;;;
724772011;5;2;;;42
724772021;;;;;
724772031;;;;;
724772041;;;;;
724772111;5;2;;;56
724772211;7;;;;45
724772221;;;;;
724772231;3;;1;500000;48
724772241;;;;;
724772251;;;;;
724772311;5;2;;;56
724772511;5;2;;;63
724772611;;;;;
724772621;3;;2;600000;46
724772631;;;;;
724772641;;;;;
724772711;;;;;
724772721;;;;;
724772811;1;;1;800000;91
724772821;;;;;
724772911;3;;1;300000;54
724772921;;;;;
724772931;;;;;
724773011;;;;;
724773021;5;2;;;10
724773012;;;;;
724773111;5;2;;;13
724773121;5;2;;;14
724773131;;;;;
724773211;;;;;
724773221;5;2;;;48
724773231;;;;;
724773241;;;;;
724773251;5;2;;;48
724773271;;;;;
724773311;5;2;;;60
724773321;2;;1;1800000;25
724773331;;;;;
724773341;1;;1;702000;16
724773411;5;2;;;6
724773511;;;;;
724773611;5;2;;;6
724773621;;;;;
724773911;;;;;
724773921;;;;;
724774011;5;2;;;5
724774021;5;2;;;4
724774031;;;;;
724774041;;;;;
724774051;;;;;
724774111;5;2;;;48
724774121;5;2;;;48
724774131;;;;;
724774211;;;;;
724774221;5;2;;;54
724774231;;;;;
724774241;;;;;
724774311;5;2;;;30
724774411;;;;;
724774421;5;2;;;36
724774511;5;2;;;30
724774521;;;;;
724774531;;;;;
724774611;1;;2;600000;48
724774621;;;;;
724774641;;;;;
724774651;5;2;;;62
724774711;;;;;
724774721;1;;1;500000;7
724774712;10;;1;610000;6
724774722;1;;1;500000;7
724774811;1;;1;4244314;48
724774821;5;2;;;48
724774831;;;;;
724774841;5;2;;;48
724774911;8;;;;60
724774921;5;2;;;40
724775011;1;;1;600000;62
724775111;2;;1;1200000;52
724775121;;;;;
724775211;5;2;;;39
724775311;1;;2;1800000;44
724775321;1;;2;1750000;40
724775331;;;;;
724775411;1;;2;1300000;60
724775421;;;;;
724775431;;;;;
724775511;5;2;;;20
724775521;;;;;
724775531;5;2;;;28
724775611;1;;1;970000;48
724775621;5;2;;;42
724775631;8;;;;12
724775711;5;2;;;63
724775721;;;;;
724775731;5;2;;;10
724775811;;;;;
724775911;5;2;;;10
724775921;1;;1;1400000;40
724775941;;;;;
724776011;;;;;
724776021;;;;;
724776031;1;;1;150000;48
724776041;;;;;
724776211;5;2;;;40
724776221;;;;;
724776311;;;;;
724776321;5;2;;;12
724776331;;;;;
724776341;1;;1;450000;48
724776911;;;;;
724776921;;;;;
724776931;5;2;;;56
724776941;;;;;
724776951;;;;;
724776961;1;;1;600000;63
724777011;5;2;;;40
724777021;;;;;
724777031;;;;;
724777041;;;;;
724777051;;;;;
724777111;7;;;;42
724777121;;;;;
724777131;;;;;
724777211;5;2;;;56
724777221;1;;1;870000;40
724777311;5;2;;;24
724777321;;;;;
724777411;;;;;
724777421;5;2;;;70
724777431;;;;;
724777441;;;;;
724777451;1;;1;600000;48
724777511;5;2;;;24
724777521;;;;;
724777531;;;;;
724777541;5;2;;;40
724777551;;;;;
724777571;;;;;
724777711;;;;;
724777721;;;;;
724777731;5;2;;;48
724777741;;;;;
724777811;5;2;;;15
724777821;;;;;
724777831;5;2;;;84
724777851;;;;;
724777861;;;;;
724777911;;;;;
724777921;;;;;
724777931;;;;;
724778111;5;2;;;30
724778121;;;;;
724778211;;;;;
724778221;5;2;;;48
724778231;;;;;
724778241;;;;;
724778411;;;;;
724778421;;;;;
724778431;;;;;
724778441;;;;;
724778511;;;;;
724778521;5;2;;;30
724778611;5;2;;;42
724778621;;;;;
724778631;;;;;
724778641;1;;1;720000;48
724778651;;;;;
724778711;;;;;
724778721;5;2;;;48
724778731;1;;1;1063000;48
724778811;;;;;
724778821;2;;2;2100000;30
724778831;;;;;
724779011;;;;;
724779021;1;;1;180000;77
724779211;5;2;;;48
724779221;1;;2;450000;48
724779251;;;;;
724779311;5;2;;;12
724779321;;;;;
724779331;;;;;
724779411;5;2;;;48
724779421;;;;;
724779451;;;;;
724779511;1;;2;877803;48
724779521;;;;;
724779531;1;;1;300000;10
724779541;;;;;
724779611;1;;1;877803;48
724779621;;;;;
724779631;5;2;;;20
724779641;;;;;
724779711;5;2;;;30
724779911;5;2;;;45
724779921;;;;;
724779931;;;;;
724780011;5;2;;;48
724780021;;;;;
724780031;10;;1;160000;48
724780041;10;;1;160000;48
724780051;1;;1;90000;48
724780211;1;;1;600000;56
724780221;;;;;
724780231;;;;;
724780241;;;;;
724780411;5;2;;;20
724780421;1;;1;600000;56
724780611;;;;;
724780621;;;;;
724780631;5;2;;;20
724780641;5;2;;;87
724780651;;;;;
724780711;5;2;;;40
724780721;;;;;
724780811;5;2;;;48
724780821;;;;;
724780831;2;;2;658000;48
724780911;;;;;
724781011;5;2;;;25
724781021;5;2;;;48
724781031;;;;;
724781111;5;2;;;80
724781121;;;;;
724781131;;;;;
724781211;5;2;;;98
724781221;;;;;
724781231;;;;;
724781241;;;;;
724781311;;;;;
724781321;4;2;;;60
724781331;;;;;
724781341;;;;;
724781351;;;;;
724781411;2;;1;950000;38
724781421;;;;;
724781431;5;2;;;56
724781511;;;;;
724781521;1;;1;500000;30
724781611;5;2;;;48
724781621;;;;;
724781631;;;;;
724781612;5;2;;;48
724781622;;;;;
724781632;;;;;
724781711;;;;;
724781721;1;;1;500000;48
724781731;;;;;
724781751;1;;1;1000000;48
724781811;1;;1;980000;48
724781821;;;;;
724781831;;;;;
724781851;;;;;
724781911;1;;1;150000;15
724781921;7;;;;20
724781931;2;;1;1100000;48
724781941;;;;;
724781951;;;;;
724782011;;;;;
724782021;;;;;
724782031;3;;1;300000;48
724782041;;;;;
724782051;;;;;
724782111;5;2;;;42
724782121;;;;;
724782141;;;;;
724782211;5;2;;;48
724782221;;;;;
724782231;1;;1;300000;48
724782241;1;;1;300000;48
724782311;;;;;
724782321;3;;1;200000;28
724782411;5;2;;;5
724782421;;;;;
724782431;1;;1;900000;8
724782511;5;1;1;;50
724782521;;;;;
724782531;;;;;
724782611;;;;;
724782621;5;2;;;6
724782631;5;2;;;8
724782711;5;2;;;30
724782811;1;;1;200000;48
724782821;2;;1;2300000;40
724782831;;;;;
724782911;5;2;;;4
724782921;;;;;
724782931;5;2;;;48
724782961;;;;;
724782971;;;;;
724783011;5;2;;;90
724783021;5;2;;;70
724783031;8;;;;28
724783041;8;;;;20
724783111;5;2;;;30
724783121;5;2;;;42
724783131;;;;;
724783211;1;;1;950000;48
724783221;1;;1;600000;48
724783311;5;2;;;3
724783321;;;;;
724783411;5;2;;;7
724783421;3;;1;300000;5
724783511;;;;;
724783521;5;2;;;48
724783531;5;2;;;48
724783611;5;2;;;7
724783711;1;;1;900000;48
724783721;5;2;;;36
724783731;;;;;
724783741;;;;;
724783811;1;;1;980000;48
724783821;1;;1;980000;48
724783831;;;;;
724784011;1;;1;980000;84
724784021;;;;;
724784031;;;;;
724784111;;;;;
724784121;5;2;;;70
724784211;1;;1;980657;56
724784221;;;;;
724784311;1;;1;1500000;35
724784321;;;;;
724784411;5;2;;;70
724784421;;;;;
724784511;;;;;
724784521;5;2;;;60
724784611;5;2;;;30
724784621;;;;;
724784711;5;1;1;;60
724784721;5;2;;;7
724784731;;;;;
724784811;;;;;
724784911;;;;;
724784921;;;;;
724784931;1;;1;600000;10
724784941;5;2;;;72
724784951;1;;1;600000;54
724784961;;;;;
724785011;5;2;;;50
724785111;1;;1;1100000;65
724785121;;;;;
724785211;1;;1;1200000;8
724785221;;;;;
724785411;;;;;
724785421;5;2;;;21
724785431;;;;;
724785441;5;2;;;65
724785451;;;;;
724785511;3;;1;300000;48
724785521;5;2;;;50
724785611;;;;;
724785621;;;;;
724785631;;;;;
724785641;;;;;
724785811;1;;1;600000;50
724785821;;;;;
724785831;;;;;
724785841;;;;;
724785911;;;;;
724785921;5;2;;;50
724785931;;;;;
724785941;5;2;;;64
724785951;;;;;
724786011;5;2;;;40
724786111;;;;;
724786121;;;;;
724786131;5;2;;;30
724786211;5;2;;;40
724786221;;;;;
724786212;1;;1;900000;70
724786222;;;;;
724786311;5;2;;;12
724786321;1;;1;500000;8
724786331;;;;;
724786411;7;;;;70
724786421;;;;;
724786431;5;2;;;8
724786441;;;;;
724786451;;;;;
724786511;;;;;
724786521;;;;;
724786611;;;;;
724786621;;;;;
724786651;;;;;
724786661;1;;1;1000000;70
724786711;;;;;
724786721;1;;1;980000;48
724786911;5;2;;;40
724786921;;;;;
724786931;5;2;;;45
724787011;5;2;;;60
724787021;1;;1;1000000;60
724787111;5;2;;;52
724787121;;;;;
724787131;;;;;
724787141;;;;;
724787151;;;;;
724787211;;;;;
724787311;1;;1;550000;30
724787321;1;;1;877000;70
724787331;;;;;
724787351;;;;;
724787411;;;;;
724787511;;;;;
724787521;;;;;
724787611;;;;;
724787621;5;2;;;60
724787631;;;;;
724787641;;;;;
724787711;2;;1;2020000;8
724787721;;;;;
724787811;5;2;;;72
724787821;;;;;
724787831;;;;;
724787841;;;;;
724787911;1;;1;1000000;30
724787921;;;;;
724787931;5;2;;;30
724787941;5;2;;;48
724788011;;;;;
724788021;;;;;
724788211;5;2;;;36
724788221;5;2;;;42
724788231;5;2;;;42
724788241;5;2;;;42
724788251;;;;;
724788311;5;1;2;;40
724788321;7;;;;30
724788341;3;;1;300000;40
724788411;5;2;;;21
724788421;5;2;;;8
724788431;5;2;;;48
724788511;2;;1;2300000;30
724788521;;;;;
724788531;1;;1;3000000;48
724788611;5;2;;;30
724788621;5;2;;;20
724788711;2;;1;1700000;30
724788721;2;;1;2100000;40
724788731;;;;;
724788741;;;;;
724788811;2;;1;2100000;32
724788821;6;;;;35
724788911;2;;1;2209000;30
724788921;1;;1;877803;12
724788931;;;;;
724788941;;;;;
724788951;;;;;
724788961;;;;;
724789011;5;2;;;20
724789021;;;;;
724789111;7;;;;10
724789121;;;;;
724789211;7;;;;36
724789221;;;;;
724789231;7;;;;30
724789311;5;2;;;15
724789321;8;;;;15
724789331;;;;;
724789341;5;2;;;36
724789351;5;2;;;20
724789411;;;;;
724789511;;;;;
724789521;7;;;;24
724789531;1;;1;450000;40
724789541;;;;;
724789611;;;;;
724789711;;;;;
724789721;;;;;
724789731;5;2;;;63
724789741;5;2;;;5
724789811;5;2;;;30
724789821;;;;;
724789831;;;;;
724789841;5;2;;;35
724789861;;;;;
724789871;5;2;;;40
724789911;5;2;;;28
724789921;;;;;
724789931;;;;;
724789941;;;;;
724790011;5;2;;;84
724790021;;;;;
724790031;;;;;
724790041;;;;;
724790061;;;;;
724790111;10;;1;450000;20
724790121;5;2;;;15
