ID_Hogar;ID_Persona;EDAD;ETNIA;VIVE_CON_PADRE;VIVE_CON_MADRE;EDUCACION_PADRES;ESCUELA_OFICIAL;UBICACION_ESCUELA;ORIGEN_SUBSIDIO_EDUC;ESTUDIA;VALOR_BECA;TRANSPORTE_ESCUELA;TIEMPO_TRANSPORTE_ESC;EDAD_CUIDADOR;ACT1;ACT2;ACT3;ACT4;ACT5;ACT6;ACT7;NO_ACT;AFILIADO_SALUD;ESTADO_SALUD;ENFERMEDAD_CRONICA;INCAP;HORAS_TRABAJO;ACTIVIDAD_ULT_SEMANA;TRABAJO1;TRABAJO2;TRABAJO3;TRABAJO4;LUGAR_TRABAJO;PERCAPITA;CANT_PERSONAS_HOGAR;INCRESOS_AUTOPERCIBIDOS_HOGAR;CONDIC_VIDA_HOGAR;ACTIVIDADES;TRABAJA;Actividades_p;Salud_p;SATISFACCION
72474641;724746451;7;5.0;2;1;2.0;1;1;;1.0;1;4;5;;;;;;1;1;1;;1.0;2.0;1;32;0;3.0;0;0;0;2;0;120866.666666667;5.0;2.0;3.0;3.0;0.0;18.0;18.0;36.0
72474661;724746621;8;5.0;2;1;0.0;1;1;;1.0;1;3;5;;;;;;1;1;1;;1.0;2.0;1;32;0;3.0;0;0;0;2;0;360166.666666667;2.0;2.0;3.0;3.0;0.0;18.0;18.0;36.0
72474701;724747031;8;6.0;1;1;;1;1;;1.0;1;4;5;;;;;;;;1;;1.0;2.0;1;32;0;3.0;0;0;0;2;0;273437.5;8.0;2.0;3.0;1.0;0.0;7.0;18.0;25.0
72474701;724747041;6;6.0;1;1;;1;1;;1.0;1;4;10;;;;;;1;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;273437.5;8.0;2.0;3.0;2.0;0.0;13.0;18.0;31.0
72474761;724747631;12;6.0;1;1;;1;1;;1.0;1;;;;;;1;1;;;1;;1.0;2.0;2;32;;;;;;;;625000.0;4.0;2.0;2.0;3.0;;18.0;18.0;36.0
72474761;724747641;10;6.0;1;1;;1;1;;1.0;1;;;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;625000.0;4.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72474841;724748431;6;2.0;2;1;3.0;3;1;;1.0;1;;;;;;;;;;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;110555.555555556;3.0;2.0;2.0;1.0;0.0;7.0;18.0;25.0
72474901;724749031;6;6.0;1;1;;1;1;;1.0;1;8;15;;;;;;;1;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;204791.666666667;4.0;1.0;3.0;2.0;0.0;13.0;27.0;40.0
72474911;724749141;12;2.0;1;1;;3;1;;1.0;1;;;;;;;;;1;1;;1.0;2.0;2;32;;;;;;;;407500.0;4.0;1.0;2.0;2.0;;13.0;18.0;31.0
72474931;724749351;8;5.0;2;1;2.0;1;1;3;1.0;1;;;;1;;;;;1;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;146933.333333333;5.0;1.0;2.0;3.0;0.0;18.0;27.0;45.0
72474941;724749431;12;2.0;2;1;3.0;3;1;;1.0;1;;;;;;;;;1;1;;1.0;2.0;2;32;;;;;;;;138888.888888889;3.0;1.0;2.0;2.0;;13.0;18.0;31.0
72474951;724749561;8;5.0;2;1;1.0;1;1;;1.0;100000;;;;;;;;;1;1;;1.0;1.0;1;32;0;3.0;0;0;0;2;0;320833.333333333;7.0;2.0;2.0;2.0;0.0;13.0;27.0;40.0
72474951;724749571;7;5.0;2;1;1.0;1;1;;1.0;1;;;;;;;;;1;1;;1.0;1.0;2;32;0;3.0;0;0;0;2;0;320833.333333333;7.0;2.0;2.0;2.0;0.0;13.0;27.0;40.0
72474971;724749731;12;5.0;2;1;2.0;1;1;;1.0;1;;;;;;;;1;1;1;;1.0;2.0;2;32;;;;;;;;27500.0;5.0;1.0;2.0;3.0;;18.0;18.0;36.0
72475011;724750121;12;6.0;2;1;1.0;1;1;;1.0;1;;;;;;1;;;1;1;;2.0;2.0;2;32;;;;;;;;136071.428571429;7.0;1.0;3.0;3.0;;18.0;18.0;36.0
72475011;724750131;9;6.0;2;1;1.0;1;1;;1.0;1;;;;;;1;;;1;;;2.0;3.0;2;30;0;3.0;0;0;0;2;0;136071.428571429;7.0;1.0;3.0;2.0;0.0;13.0;9.0;22.0
72475011;724750171;6;6.0;1;1;;1;1;;1.0;1;;;;;;1;;;;;;2.0;2.0;2;32;0;3.0;0;0;0;2;0;136071.428571429;7.0;1.0;3.0;1.0;0.0;7.0;18.0;25.0
72475041;724750451;9;6.0;1;2;0.0;1;1;3;1.0;1;;;;;;1;;1;;1;;1.0;2.0;2;32;0;6.0;0;0;0;2;0;64083.3333333333;6.0;1.0;2.0;3.0;0.0;18.0;18.0;36.0
72475041;724750461;7;6.0;1;2;0.0;1;1;3;1.0;1;;;;;;;;1;;1;;1.0;2.0;2;32;0;6.0;0;0;0;2;0;64083.3333333333;6.0;1.0;2.0;2.0;0.0;13.0;18.0;31.0
72475051;724750541;11;2.0;2;1;1.0;3;1;;1.0;1;;;;;;;;;;1;;2.0;2.0;2;32;0;3.0;0;0;0;2;0;145833.333333333;4.0;1.0;2.0;1.0;0.0;7.0;18.0;25.0
72475091;724750941;9;5.0;2;1;0.0;1;1;;1.0;1;;;;;;1;;;1;1;;1.0;3.0;1;32;0;3.0;0;0;0;2;0;233202.380952381;7.0;1.0;2.0;3.0;0.0;18.0;9.0;27.0
72475091;724750971;6;5.0;2;1;3.0;1;1;;1.0;1;;;;;;1;;;1;1;;1.0;2.0;2;32;0;3.0;0;0;0;2;0;233202.380952381;7.0;1.0;2.0;3.0;0.0;18.0;18.0;36.0
72475101;724751051;11;5.0;1;1;;1;1;3;1.0;1;;;;;;;;;1;;;1.0;1.0;2;32;0;4.0;0;0;0;2;0;226000.0;5.0;1.0;2.0;1.0;0.0;7.0;27.0;34.0
72475121;724751231;9;5.0;1;1;;1;1;;1.0;1;;;;;;;;;1;1;;1.0;2.0;2;31;0;3.0;0;0;0;2;0;220833.333333333;3.0;1.0;2.0;2.0;0.0;13.0;18.0;31.0
72475151;724751541;12;6.0;2;1;2.0;1;1;;1.0;1;;;;;;;;;;1;;1.0;2.0;2;32;;;;;;;;218333.333333333;5.0;1.0;1.0;1.0;;7.0;18.0;25.0
